Area,Location,Bedrooms,Price
450,18,1,10500000
700,18,1,14900000
600,18,1,9800000
600,18,1,9800000
1000,18,2,30000000
809,18,2,4043000
408,18,1,4498000
454,18,1,8294000
834,18,2,6242000
630,18,2,6242000
630,18,2,17500000
350,18,1,4000000
710,18,1,27000000
650,18,1,4200000
600,18,1,6450000
510,18,1,6700000
510,18,1,6700000
670,18,1,14000000
1098,18,2,8000000
1098,18,1,27500000
1131,18,3,4300000
809,18,2,6242000
630,18,2,4043000
408,18,1,4498000
454,18,1,8294000
834,18,2,3500000
870,18,2,3663000
666,18,1,5555000
1010,18,3,2500000
750,18,2,9000000
750,18,2,7500000
1120,18,3,18000000
774,18,1,6862000
990,18,2,4556000
1314,18,3,2700000
1062,18,2,2700000
1197,18,3,18500000
1098,18,2,8500000
729,18,1,26000000
665,18,1,40000000
665,18,1,40000000
665,18,1,19500000
665,18,1,8500000
