Area,Location,No. of Bedrooms,Price
740,Boisar,2,4000000
1380,Boisar,3,3500000
1200,Boisar,3,3000000
1160,Boisar,3,3317000
990,Boisar,3,4300000
930,Boisar,2,2350000
820,Boisar,2,2350000
820,Boisar,2,2100000
780,Boisar,2,16700000
605,Boisar,1,2178000
605,Boisar,1,3877000
1077,Boisar,3,3100000
1105,Boisar,3,4000000
715,Boisar,2,8399000
610,Boisar,1,5690000
820,Boisar,2,4500000
930,Boisar,2,2300000
820,Boisar,2,2100000
780,Boisar,2,8500000
785,Boisar,2,3920000
1120,Boisar,3,8016000
1200,Boisar,3,2300000
740,Boisar,2,2600000
930,Boisar,2,2600000
840,Boisar,2,2900000
1160,Boisar,3,4700000
731,Boisar,2,2500000
999,Boisar,2,2500000
675,Boisar,2,2139000
620,Boisar,1,2600000
513,Boisar,1,60000000
740,Boisar,2,2600000
610,Boisar,1,2600000
585,Boisar,1,2400000
714,Boisar,2,2600000
935,Boisar,2,5700000
1050,Boisar,3,8399000
1200,Boisar,3,3650000
465,Boisar,1,2500000
990,Boisar,3,16000000
930,Boisar,2,15000000
605,Boisar,1,7020000
1095,Boisar,3,9370000
1108,Boisar,3,6152000
973,Boisar,1,3459000
1077,Boisar,3,4371000
605,Boisar,1,3574000
1095,Boisar,3,4584000
820,Boisar,2,2520000
820,Boisar,2,2576000
820,Boisar,2,9100000
1155,Borivali,3,14500000
829,Borivali,2,35000000
980,Borivali,2,13200000
1105,Borivali,2,17000000
700,Borivali,1,8600000
950,Borivali,2,15300000
1250,Borivali,2,16000000
1840,Borivali,3,26000000
400,Borivali,1,9000000
600,Borivali,1,11299999
907,Borivali,2,15500000
600,Borivali,1,11000000
1189,Borivali,3,22500000
1080,Borivali,2,21500000
1500,Borivali,3,23000000
1423,Borivali,3,31500000
600,Borivali,1,10000000
600,Borivali,1,11000000
1560,Borivali,3,21400000
1020,Borivali,2,14500000
585,Borivali,1,10500000
1050,Borivali,2,26500000
585,Borivali,1,10500000
1050,Borivali,2,26500000
552,Borivali,1,15500000
845,Borivali,2,13799999
900,Borivali,2,15000000
918,Borivali,2,14200000
1450,Borivali,2,13000000
858,Borivali,2,31300000
1043,Borivali,3,8920000
700,Borivali,2,12500000
2800,Borivali,4,7500000
950,Borivali,2,8200000
600,Borivali,1,7400000
600,Borivali,1,9000000
850,Borivali,2,4300000
560,Borivali,1,8500000
800,Borivali,2,9000000
1656,Borivali,3,3258000
1013,Borivali,2,20000000
600,Borivali,1,7500000
1700,Borivali,3,3800000
880,Borivali,2,8800000
372,Borivali,1,4170000
2500,Borivali,4,25000000
890,Borivali,3,13000000
595,Borivali,1,9000000
1785,Borivali,3,33500000
2030,Borivali,3,38600000
1300,Borivali,2,22000000
900,Borivali,2,16299999
670,Borivali,1,11000000
816,Borivali,2,13000000
540,Borivali,1,12000000
495,Borivali,1,15000000
2700,Borivali,5,8900000
1627,Borivali,3,8900000
867,Borivali,2,5550000
539,Borivali,1,100000000
800,Borivali,2,15500000
600,Borivali,1,16000000
500,Borivali,1,14000000
1650,Borivali,3,7837000
1250,Borivali,3,9000000
3000,Borivali,4,21500000
1200,Borivali,3,18500000
1050,Borivali,2,19900000
550,Borivali,1,8600000
550,Borivali,1,16800000
650,Borivali,1,13500000
600,Borivali,1,38100000
600,Borivali,1,13300000
899,Borivali,2,10500000
650,Borivali,1,7300000
1000,Borivali,2,16500000
650,Borivali,1,25000000
580,Borivali,1,8900000
600,Borivali,1,78700000
1670,Borivali,3,17000000
712,Borivali,2,47000000
750,Borivali,2,6500000
360,Borivali,1,3000000
742,Borivali,2,20000000
756,Borivali,2,28500000
1100,Borivali,3,28500000
630,Borivali,2,27500000
1500,Borivali,3,9500000
650,Borivali,1,14500000
756,Borivali,2,28500000
630,Borivali,2,27500000
1500,Borivali,3,23500000
1100,Borivali,3,8500000
650,Borivali,1,12000000
710,Borivali,2,16000000
650,Borivali,1,14500000
1700,Borivali,3,9000000
650,Borivali,1,6500000
400,Borivali,1,5325000
325,Borivali,1,9500000
635,Borivali,1,15000000
900,Borivali,2,18500000
2400,Borivali,3,7100000
697,Borivali,2,8800000
935,Borivali,2,14500000
580,Borivali,2,27500000
2400,Borivali,3,7100000
1250,Borivali,3,40000000
1700,Borivali,4,8400000
515,Borivali,1,9000000
1250,Borivali,3,40000000
1700,Borivali,4,8400000
515,Borivali,1,9000000
680,Borivali,2,14500000
675,Borivali,2,9800000
646,Borivali,2,27500000
1056,Borivali,3,22000000
300,Borivali,1,2500000
580,Borivali,1,10800000
760,Borivali,2,2300000
650,Borivali,1,9000000
650,Borivali,1,8200000
610,Borivali,1,8700000
900,Borivali,2,31500000
1600,Borivali,3,8800000
650,Borivali,1,21500000
1350,Borivali,3,8400000
650,Borivali,1,12000000
1600,Borivali,3,11000000
950,Borivali,3,15000000
570,Borivali,1,25000000
1160,Borivali,3,8200000
420,Borivali,1,18000000
650,Borivali,1,22500000
750,Borivali,2,25600000
1050,Borivali,2,16200000
1050,Borivali,2,2250000
750,Borivali,1,14500000
575,Borivali,1,19000000
750,Borivali,2,18000000
1400,Borivali,3,17000000
1125,Borivali,2,12000000
900,Borivali,2,12600000
750,Borivali,2,9000000
750,Borivali,2,8800000
600,Borivali,1,6000000
600,Borivali,1,17500000
650,Borivali,2,17200000
600,Borivali,2,21000000
592,Borivali,1,2300000
446,Borivali,1,6900000
446,Borivali,1,2200000
625,Borivali,1,11100000
800,Borivali,2,8000000
500,Borivali,1,6200000
425,Borivali,1,14200000
900,Borivali,2,12500000
975,Borivali,2,12200000
585,Borivali,1,5100000
400,Borivali,1,10000000
575,Borivali,1,9800000
610,Borivali,1,8750000
540,Borivali,1,7800000
600,Borivali,1,7400000
600,Borivali,1,10000000
590,Borivali,1,13500000
800,Borivali,2,9500000
650,Borivali,1,14000000
540,Borivali,1,18500000
1950,Borivali,3,16800000
1050,Borivali,2,25000000
1600,Borivali,3,14500000
650,Borivali,1,14000000
800,Borivali,2,13500000
850,Borivali,2,14000000
750,Borivali,2,7700000
590,Borivali,1,10000000
610,Borivali,1,22500000
1300,Borivali,3,14500000
960,Borivali,2,3425000
1100,Borivali,3,9620000
600,Borivali,1,5300000
600,Borivali,1,13500000
1140,Borivali,3,6022000
1500,Borivali,3,18000000
650,Borivali,1,9100000
980,Borivali,1,9000000
580,Borivali,1,7500000
1122,Borivali,1,11500000
1150,Borivali,3,8100000
2400,Borivali,4,2000000
1150,Borivali,2,9600000
580,Borivali,1,29900000
580,Borivali,1,18900000
635,Borivali,1,7600000
580,Borivali,2,22500000
935,Borivali,2,27500000
732,Borivali,2,28500000
756,Borivali,2,27500000
515,Borivali,1,24000000
580,Borivali,1,9400000
580,Borivali,1,16299999
756,Borivali,2,15000000
635,Borivali,1,27500000
580,Borivali,2,22500000
935,Borivali,2,19500000
935,Borivali,2,15000000
732,Borivali,2,8500000
775,Borivali,2,18400000
770,Borivali,2,8000000
650,Borivali,1,30000000
1000,Borivali,3,8900000
900,Borivali,2,13799999
580,Borivali,1,12500000
500,Borivali,1,16500000
550,Borivali,1,3500000
600,Borivali,1,17700000
580,Borivali,1,2850000
580,Borivali,1,4400000
2250,Borivali,4,15000000
2250,Borivali,4,32000000
1800,Borivali,3,107600000
1200,Borivali,2,79900000
525,Borivali,1,18000000
600,Borivali,1,10000000
900,Borivali,2,12100000
600,Borivali,1,5742000
600,Borivali,1,13000000
1050,Borivali,2,19500000
1100,Borivali,2,2599000
580,Borivali,1,6100000
980,Borivali,2,15100000
580,Borivali,1,3200000
900,Borivali,2,2063000
1250,Borivali,3,2929000
1000,Borivali,2,5200000
925,Borivali,2,8192000
525,Borivali,1,5401000
575,Borivali,1,6798999
325,Borivali,1,39600000
560,Borivali,1,20299999
500,Borivali,2,9500000
450,Borivali,1,3000000
450,Borivali,1,23000000
1150,Borivali,2,12300000
380,Borivali,1,11500000
435,Borivali,1,10000000
650,Borivali,2,9400000
585,Borivali,1,9600000
1250,Borivali,3,7200000
1500,CBD Belapur,3,13500000
1200,CBD Belapur,2,19500000
1400,CBD Belapur,3,17000000
1500,CBD Belapur,3,13500000
1200,CBD Belapur,2,19500000
1400,CBD Belapur,3,20000000
1400,CBD Belapur,3,11500000
960,CBD Belapur,2,11000000
1600,Chembur,3,33700000
715,Chembur,1,10700000
1016,Chembur,2,15000000
1000,Chembur,2,18500000
1100,Chembur,2,17600000
1250,Chembur,2,19600000
1200,Chembur,2,21500000
989,Chembur,2,14500000
440,Chembur,1,10000000
1005,Chembur,2,9500000
757,Chembur,1,7500000
800,Chembur,2,15000000
878,Chembur,1,12500000
650,Chembur,1,13000000
900,Chembur,2,37000000
2300,Chembur,3,19900000
1100,Chembur,2,32100000
1400,Chembur,3,15000000
1016,Chembur,2,15000000
1016,Chembur,2,12700000
1550,Chembur,3,32100000
585,Chembur,1,24500000
632,Chembur,1,17500000
1050,Chembur,2,20500000
1060,Chembur,2,39600000
1600,Chembur,3,18900000
1091,Chembur,2,9500000
585,Chembur,1,9200000
620,Chembur,1,11200000
725,Chembur,1,6000000
725,Chembur,1,6000000
1950,Chembur,3,63000000
2700,Chembur,4,29000000
1050,Chembur,2,12900000
666,Chembur,1,11500000
600,Chembur,1,18500000
1000,Chembur,2,17500000
1070,Chembur,2,10200000
695,Chembur,1,14100000
625,Chembur,1,27000000
765,Chembur,1,39900000
1200,Chembur,2,40000000
775,Chembur,1,20200000
1252,Chembur,2,11200000
700,Chembur,1,15500000
617,Chembur,1,10000000
800,Chembur,2,55000000
600,Chembur,1,3853000
